unique_id,album_title,track_title,track_url
1,Axis: Bold As Love,Exp,https://www.deezer.com/fr/track/4952828
2,Axis: Bold As Love,Up From The Skies,https://www.deezer.com/fr/track/4952829
3,Axis: Bold As Love,Spanish Castle Magic,https://www.deezer.com/fr/track/4952830
4,Axis: Bold As Love,Wait Until Tomorrow,https://www.deezer.com/fr/track/4952832
5,Axis: Bold As Love,Ain't No Telling,https://www.deezer.com/fr/track/4952831
6,Axis: Bold As Love,Little Wing,https://www.deezer.com/fr/track/4952834
7,Axis: Bold As Love,If 6 Was 9,https://www.deezer.com/fr/track/4952833
8,Axis: Bold As Love,You Got Me Floatin',https://www.deezer.com/fr/track/4952835
9,Axis: Bold As Love,Castles Made of Sand,https://www.deezer.com/fr/track/4952836
10,Axis: Bold As Love,She's So Fine (Noel Redding),https://www.deezer.com/fr/track/4952838
11,Axis: Bold As Love,One Rainy Wish,https://www.deezer.com/fr/track/4952837
12,Axis: Bold As Love,Little Miss Lover,https://www.deezer.com/fr/track/4952840
13,Axis: Bold As Love,Bold as Love,https://www.deezer.com/fr/track/4952839
14,Strange Days,Strange Days,https://www.deezer.com/fr/track/3614144
15,Strange Days,You're Lost Little Girl,https://www.deezer.com/fr/track/3614145
16,Strange Days,Love Me Two Times,https://www.deezer.com/fr/track/3614146
17,Strange Days,Unhappy Girl,https://www.deezer.com/fr/track/3614147
18,Strange Days,Horse Latitudes,https://www.deezer.com/fr/track/3614148
19,Strange Days,Moonlight Drive,https://www.deezer.com/fr/track/3614149
20,Strange Days,People Are Strange,https://www.deezer.com/fr/track/3614150
21,Strange Days,My Eyes Have Seen You,https://www.deezer.com/fr/track/3614151
22,Strange Days,I Can't See Your Face in My Mind,https://www.deezer.com/fr/track/3614152
23,Strange Days,When the Music's Over,https://www.deezer.com/fr/track/3614153
